atc_code;atc_name;ddd;uom;adm_r;note;TRAD
A;ALIMENTARY TRACT AND METABOLISM;NA;NA;NA;NA;TRACTO DIGESTIVO Y METABOLISMO
A01;STOMATOLOGICAL PREPARATIONS;NA;NA;NA;NA;PREPARACIONES ESTOMATOLÓGICAS
A01A;STOMATOLOGICAL PREPARATIONS;NA;NA;NA;NA;PREPARACIONES ESTOMATOLÓGICAS
A01AA;Caries prophylactic agents;NA;NA;NA;NA;AGENTES PROFILÁCTICOS DE CARIES
A01AA01;sodium fluoride;1.1;mg;O;0.5 mg fluoride;FLUORURO DE SODIO
A01AA02;sodium monofluorophosphate;NA;NA;NA;NA;MONOFLUOROFOSFATO DE SODIO
A01AA03;olaflur;1.1;mg;O;NA;OLAFLUR
A01AA04;stannous fluoride;NA;NA;NA;NA;FLUORURO DE ESTAÑO
A01AA30;combinations;NA;NA;NA;NA;COMBINACIONES
A01AA51;sodium fluoride, combinations;NA;NA;NA;NA;FLUORURO DE SODIO, COMBINACIONES
A01AB;Antiinfectives and antiseptics for local oral treatment;NA;NA;NA;NA;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL
A01AB02;hydrogen peroxide;60;mg;O;NA;PERÓXIDO DE HIDRÓGENO
A01AB03;chlorhexidine;30;mg;O;NA;CLORHEXIDINA
A01AB04;amphotericin B;40;mg;O;NA;ANFOTERICINA B
A01AB05;polynoxylin;0.18;g;O;NA;POLINOXILINA
A01AB06;domiphen;3;mg;O;NA;DOMIPHEN
A01AB07;oxyquinoline;80;mg;O;NA;OXIQUINOLINA
A01AB08;neomycin;NA;NA;NA;NA;NEOMICINA
A01AB09;miconazole;0.2;g;O;NA;MICONAZOL
A01AB10;natamycin;20;mg;O;NA;NATAMICINA
A01AB11;various;NA;NA;NA;NA;VARIOS
A01AB12;hexetidine;NA;NA;NA;NA;HEXETIDINA
A01AB13;tetracycline;NA;NA;NA;NA;TETRACICLINA
A01AB14;benzoxonium chloride;NA;NA;NA;NA;CLORURO DE BENZOXONIO
A01AB15;tibezonium iodide;NA;NA;NA;NA;YODURO DE TIBEZONIO
A01AB16;mepartricin;NA;NA;NA;NA;MEPARTRICINA
A01AB17;metronidazole;NA;NA;NA;NA;METRONIDAZOL
A01AB18;clotrimazole;NA;NA;NA;NA;CLOTRIMAZOL
A01AB19;sodium perborate;NA;NA;NA;NA;PERBORATO DE SODIO
A01AB21;chlortetracycline;NA;NA;NA;NA;CLORTETRACICLINA
A01AB22;doxycycline;NA;NA;NA;NA;DOXICICLINA
A01AB23;minocycline;1;mg;O;NA;MINOCICLINA
A01AB24;octenidine;NA;NA;NA;NA;OCTENIDINA
A01AB25;oxytetracycline;NA;NA;NA;NA;OXITETRACICLINA
A01AB53;chlorhexidine and cetylpyridinium;NA;NA;NA;NA;CLORHEXIDINA Y CETILPIRIDINIO
A01AC;Corticosteroids for local oral treatment;NA;NA;NA;NA;CORTICOIDES PARA EL TRATAMIENTO ORAL LOCAL
A01AC01;triamcinolone;NA;NA;NA;NA;TRIAMCINOLONA
A01AC02;dexamethasone;NA;NA;NA;NA;DEXAMETASONA
A01AC03;hydrocortisone;NA;NA;NA;NA;HIDROCORTISONA
A01AC04;prednisolone;NA;NA;NA;NA;PREDNISOLONA
A01AC54;prednisolone, combinations;NA;NA;NA;NA;PREDNISOLONA, COMBINACIONES
A01AD;Other agents for local oral treatment;NA;NA;NA;NA;OTROS AGENTES PARA EL TRATAMIENTO ORAL LOCAL
A01AD01;epinephrine;NA;NA;NA;NA;EPINEFRINA
A01AD02;benzydamine;NA;NA;NA;NA;BENCIDAMINA
A01AD05;acetylsalicylic acid;NA;NA;NA;NA;ÁCIDO ACETILSALICÍLICO
A01AD06;adrenalone;NA;NA;NA;NA;ADRENALONA
A01AD07;amlexanox;NA;NA;NA;NA;AMLEXANOX
A01AD08;becaplermin;NA;NA;NA;NA;BECAPLERMIN
A01AD11;various;NA;NA;NA;NA;VARIOS
A02;DRUGS FOR ACID RELATED DISORDERS;NA;NA;NA;NA;FÁRMACOS PARA LOS TRASTORNOS RELACIONADOS CON EL ÁCIDO
A02A;ANTACIDS;NA;NA;NA;NA;ANTIÁCIDOS
A02AA;Magnesium compounds;NA;NA;NA;NA;COMPUESTOS DE MAGNESIO
A02AA01;magnesium carbonate;NA;NA;NA;NA;CARBONATO DE MAGNESIO
A02AA02;magnesium oxide;NA;NA;NA;NA;ÓXIDO DE MAGNESIO
A02AA03;magnesium peroxide;NA;NA;NA;NA;PERÓXIDO DE MAGNESIO
